,neighbourhood,host_name,room_type,neighbourhood_group,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,last_review_year,last_review_month,last_review_day,price
1522,201.27619047619046,85.3076923076923,2,4,16.333333333333332,0.1,-0.9038461538461539,-0.08695652173913043,-0.08637873754152824,-1.0,4.0,1.2857142857142858,100
1523,166.16299137104505,136.63636363636363,2,4,3.0,10.0,4.096153846153846,0.043478260869565216,0.15282392026578073,0.0,0.0,2.2857142857142856,179
1524,166.16299137104505,136.63636363636363,2,4,3.0,2.0,0.019230769230769246,0.043478260869565216,0.25249169435215946,0.0,-1.0,2.142857142857143,149
1525,166.16299137104505,86.0,1,4,2.5555555555555554,11.9,4.826923076923077,-0.17391304347826086,-0.44518272425249167,0.0,-2.0,1.8571428571428572,86
1526,151.44255319148937,84.0,1,4,-0.2222222222222222,-0.2,0.0,-0.17391304347826086,-0.8637873754152824,0.0,0.0,0.0,87
1527,91.17391304347827,72.66666666666667,2,0,1.3333333333333333,0.7,-0.5961538461538463,-0.17391304347826086,-0.8637873754152824,0.0,-5.0,-1.8571428571428572,87
1528,153.23762376237624,152.0,2,4,-0.2222222222222222,0.1,-0.9038461538461539,-0.17391304347826086,-0.8637873754152824,-2.0,-6.0,0.0,56
1529,170.50877192982455,48.0,1,4,9.666666666666666,-0.1,-0.7692307692307693,-0.17391304347826086,0.132890365448505,0.0,-5.0,-0.42857142857142855,40
1530,151.44255319148937,69.0,1,4,-0.2222222222222222,-0.2,0.0,-0.17391304347826086,-0.8637873754152824,0.0,0.0,0.0,69
1531,188.7929104477612,103.25,1,4,-0.1111111111111111,8.0,2.980769230769231,-0.021739130434782608,-0.11295681063122924,0.0,1.0,-0.5714285714285714,104
1532,205.3948598130841,300.0,2,4,0.0,0.0,-0.9423076923076924,-0.17391304347826086,-0.8637873754152824,-2.0,-3.0,-1.5714285714285714,300
1533,153.23762376237624,100.0,1,4,-0.1111111111111111,0.1,-0.9038461538461539,-0.15217391304347827,-0.8637873754152824,-3.0,3.0,-1.8571428571428572,60
1534,166.16299137104505,69.07446808510639,1,4,1.6666666666666667,-0.2,0.0,1.608695652173913,0.2724252491694352,0.0,0.0,0.0,44
1535,201.27619047619046,85.3076923076923,1,4,16.333333333333332,-0.1,-1.0,-0.08695652173913043,0.3488372093023256,-3.0,-1.0,-1.4285714285714286,50
